Link to Local Folder,0<rank<5,Repo Name - Source,Branch,__old_path,__updated_path,__moved_flag
/Users/pq/autonoms_final_secure_pack/autonoma-x,5,autonoma-x,default,/Users/pq/autonoms_final_secure_pack/autonoma-x,/Volumes/psiqo/autonoms_final_secure_pack/autonoma-x,True
/Users/pq/autonomax-hub,5,autonomax-hub,main,/Users/pq/autonomax-hub,/Volumes/psiqo/autonomax-hub,True
/Users/pq/youtube_ai_app_v2.5/fiverr_business/fiverr_business,5,boppins/fiverr_business,main,/Users/pq/youtube_ai_app_v2.5/fiverr_business/fiverr_business,/Volumes/psiqo/youtube_ai_app_v2.5/fiverr_business/fiverr_business,True
/Users/pq/_lazy/business_opportunity_platform/business-dashboard,5,business-dashboard,master,/Users/pq/_lazy/business_opportunity_platform/business-dashboard,/Volumes/psiqo/_lazy/business_opportunity_platform/business-dashboard,True
/Users/pq/_lazy/business-dashboard,5,business-dashboard,master,/Users/pq/_lazy/business-dashboard,/Volumes/psiqo/_lazy/business-dashboard,True
/Users/pq/AutonomaX_AI_Integration_Starter_v11_full,5,laziestlarry/AutonomaX_AI_Integration_Starter,main,/Users/pq/AutonomaX_AI_Integration_Starter_v11_full,/Volumes/psiqo/AutonomaX_AI_Integration_Starter_v11_full,True
/Users/pq/AutonomaX_API_Commander,5,laziestlarry/AutonomaX_API_Commander,main,/Users/pq/AutonomaX_API_Commander,/Volumes/psiqo/AutonomaX_API_Commander,True
/Users/pq/AutonomaX_Studio,5,laziestlarry/AutonomaX-Studio,master,/Users/pq/AutonomaX_Studio,/Volumes/psiqo/AutonomaX_Studio,True
/Users/pq/autonomax-hub/AutonomaX-Studio,5,laziestlarry/AutonomaX-Studio,main,/Users/pq/autonomax-hub/AutonomaX-Studio,/Volumes/psiqo/autonomax-hub/AutonomaX-Studio,True
/Users/pq/autonoms_final_secure_pack,5,laziestlarry/autonoms,master,/Users/pq/autonoms_final_secure_pack,/Volumes/psiqo/autonoms_final_secure_pack,True
/Users/pq/Commander_Orchestrated_Online,5,laziestlarry/Commander,main,/Users/pq/Commander_Orchestrated_Online,/Volumes/psiqo/Commander_Orchestrated_Online,True
/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander,5,laziestlarry/etsy-commander,main,/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander,/Volumes/psiqo/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander,True
/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander_backup,5,laziestlarry/etsy-commander,main,/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander_backup,/Volumes/psiqo/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander_backup,True
/Users/pq/propulse-app,5,laziestlarry/propulse-app,default,/Users/pq/propulse-app,/Volumes/psiqo/propulse-app,True
/Users/pq/__ProPulse_Group__,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__,/Volumes/psiqo/__ProPulse_Group__,True
/Users/pq/__ProPulse_Group__/propulse-autonomax,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/propulse-autonomax,/Volumes/psiqo/__ProPulse_Group__/propulse-autonomax,True
/Users/pq/__ProPulse_Group__/propulse-autonomax-github/propulse-autonomax,5,laziestlarry/propulse-autonomax,master,/Users/pq/__ProPulse_Group__/propulse-autonomax-github/propulse-autonomax,/Volumes/psiqo/__ProPulse_Group__/propulse-autonomax-github/propulse-autonomax,True
/Users/pq/__ProPulse_Group__/propulse-autonomax/propulse-autonomax,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/propulse-autonomax/propulse-autonomax,/Volumes/psiqo/__ProPulse_Group__/propulse-autonomax/propulse-autonomax,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app/services/propulse-autonomax_old,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app/services/propulse-autonomax_old,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app/services/propulse-autonomax_old,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/scripts,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/scripts,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/scripts,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base/app,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app/services/propulse-autonomax_old,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app/services/propulse-autonomax_old,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base/app/services/propulse-autonomax_old,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/scripts,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/scripts,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base/scripts,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Stable_Deployment,True
/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment/app/services/propulse-autonomax,5,laziestlarry/propulse-autonomax,main,/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment/app/services/propulse-autonomax,/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Stable_Deployment/app/services/propulse-autonomax,True
/Users/pq/youtube_ai_app_v2.5,5,laziestlarry/youtube-ai-platform,main,/Users/pq/youtube_ai_app_v2.5,/Volumes/psiqo/youtube_ai_app_v2.5,True
/Users/pq/youtube_ai_app_v2.5/youtube-ai-platform,5,laziestlarry/youtube-ai-platform,main,/Users/pq/youtube_ai_app_v2.5/youtube-ai-platform,/Volumes/psiqo/youtube_ai_app_v2.5/youtube-ai-platform,True
/Users/pq/youtube-ai-platform,5,laziestlarry/youtube-ai-platform,main,/Users/pq/youtube-ai-platform,/Volumes/psiqo/youtube-ai-platform,True
/Users/pq/youtube_ai_app_clean,5,laziestlarry/youtubing_ai,main,/Users/pq/youtube_ai_app_clean,/Volumes/psiqo/youtube_ai_app_clean,True
/Users/pq/youtube_ai_platform_backup_edit,5,laziestlarry/youtubing_ai,main,/Users/pq/youtube_ai_platform_backup_edit,/Volumes/psiqo/youtube_ai_platform_backup_edit,True
/Users/pq/_salvage/20250810_worx/mega_all_pack,5,mega_all_pack,default,/Users/pq/_salvage/20250810_worx/mega_all_pack,/Volumes/psiqo/_salvage/20250810_worx/mega_all_pack,True
/Users/pq/youtube_ai_app_clean copy 4,5,youtube_ai_app_clean copy 4,master,/Users/pq/youtube_ai_app_clean copy 4,/Volumes/psiqo/youtube_ai_app_clean copy 4,True
/Users/pq/youtube_ai_app_clean copy 5,5,youtube_ai_app_clean copy 5,master,/Users/pq/youtube_ai_app_clean copy 5,/Volumes/psiqo/youtube_ai_app_clean copy 5,True
/Users/pq/__bop,4,__bop,default,/Users/pq/__bop,/Volumes/psiqo/__bop,True
/Users/pq/__bop_v01,4,__bop_v01,default,/Users/pq/__bop_v01,/Volumes/psiqo/__bop_v01,True
/Users/pq/__bop_v01/__MACOSX,4,__MACOSX,default,/Users/pq/__bop_v01/__MACOSX,/Volumes/psiqo/__bop_v01/__MACOSX,True
/Users/pq/__bop/__MACOSX,4,__MACOSX,default,/Users/pq/__bop/__MACOSX,/Volumes/psiqo/__bop/__MACOSX,True
/Users/pq/bop_final_repo copy/bop/__MACOSX,4,__MACOSX,default,/Users/pq/bop_final_repo copy/bop/__MACOSX,/Volumes/psiqo/bop_final_repo copy/bop/__MACOSX,True
