Title,Body (HTML),Vendor,Standardized Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Collection
Zen & Calm Abstract #1,<p>Minimal abstract print inspired by breathing rhythms. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-001,7.00,9999,Zen & Calm
Zen & Calm Abstract #2,<p>Soft gradients and gentle curves for a serene mood. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-002,7.00,9999,Zen & Calm
Zen & Calm Abstract #3,<p>Balanced composition for mindful spaces. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-003,7.00,9999,Zen & Calm
Zen & Calm Abstract #4,<p>Subtle geometry meets soothing tones. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-004,7.00,9999,Zen & Calm
Zen & Calm Abstract #5,<p>Earthy palette for a grounded ambience. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-005,7.00,9999,Zen & Calm
Zen & Calm Abstract #6,<p>Waves of stillness captured in color. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-006,7.00,9999,Zen & Calm
Zen & Calm Abstract #7,<p>Minimal lines for maximum quiet. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-007,7.00,9999,Zen & Calm
Zen & Calm Abstract #8,<p>Sunset wash for cozy corners. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-008,7.00,9999,Zen & Calm
Zen & Calm Abstract #9,<p>Pastel harmony with meditative flow. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-009,7.00,9999,Zen & Calm
Zen & Calm Abstract #10,<p>Gentle contrast with airy spacing. Instant digital download.</p><p><em>Includes high-resolution PNG (300 DPI) up to A3.</em></p>,Printbelle,Digital Product,"digital,printable,abstract,zen,calm,printbelle",TRUE,Default,Default Title,PB-ZC-010,7.00,9999,Zen & Calm
