ts,role,task,phase,priority,ref
2025-09-15 17:35:39,research,skim + summarize objectives for item_1,P0 – Intake & Triage,1,item_1
2025-09-15 17:35:39,analysis,outline value props and risks for item_1,P0 – Intake & Triage,1,item_1
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P0 – Intake & Triage,1,item_1
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P0 – Intake & Triage,1,item_1
2025-09-15 17:35:39,pm,timeline + risk register,P0 – Intake & Triage,1,item_1
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P0 – Intake & Triage,1,item_1
2025-09-15 17:35:39,research,skim + summarize objectives for item_219,P1 – MVP Integration,2,item_219
2025-09-15 17:35:39,analysis,outline value props and risks for item_219,P1 – MVP Integration,2,item_219
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,2,item_219
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,2,item_219
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,2,item_219
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,2,item_219
2025-09-15 17:35:39,research,skim + summarize objectives for item_437,P1 – MVP Integration,3,item_437
2025-09-15 17:35:39,analysis,outline value props and risks for item_437,P1 – MVP Integration,3,item_437
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,3,item_437
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,3,item_437
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,3,item_437
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,3,item_437
2025-09-15 17:35:39,research,skim + summarize objectives for item_655,P1 – MVP Integration,4,item_655
2025-09-15 17:35:39,analysis,outline value props and risks for item_655,P1 – MVP Integration,4,item_655
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,4,item_655
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,4,item_655
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,4,item_655
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,4,item_655
2025-09-15 17:35:39,research,skim + summarize objectives for item_873,P1 – MVP Integration,5,item_873
2025-09-15 17:35:39,analysis,outline value props and risks for item_873,P1 – MVP Integration,5,item_873
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,5,item_873
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,5,item_873
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,5,item_873
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,5,item_873
2025-09-15 17:35:39,research,skim + summarize objectives for item_2,P1 – MVP Integration,6,item_2
2025-09-15 17:35:39,analysis,outline value props and risks for item_2,P1 – MVP Integration,6,item_2
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,6,item_2
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,6,item_2
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,6,item_2
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,6,item_2
2025-09-15 17:35:39,research,skim + summarize objectives for item_220,P1 – MVP Integration,7,item_220
2025-09-15 17:35:39,analysis,outline value props and risks for item_220,P1 – MVP Integration,7,item_220
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,7,item_220
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,7,item_220
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,7,item_220
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,7,item_220
2025-09-15 17:35:39,research,skim + summarize objectives for item_438,P1 – MVP Integration,8,item_438
2025-09-15 17:35:39,analysis,outline value props and risks for item_438,P1 – MVP Integration,8,item_438
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,8,item_438
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,8,item_438
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,8,item_438
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,8,item_438
2025-09-15 17:35:39,research,skim + summarize objectives for item_656,P1 – MVP Integration,9,item_656
2025-09-15 17:35:39,analysis,outline value props and risks for item_656,P1 – MVP Integration,9,item_656
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,9,item_656
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,9,item_656
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,9,item_656
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,9,item_656
